"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1409","新纖",48.73,99.21,81.45,40.08,1.53,18.36,19.88,4.07,89.68,0.86,0.58,4.22,4.04,-4.01,5.16,3.20,0.42,18.51,0.00,6.16
"1423","利華",54.85,143.55,149.59,76.61,1.01,12.91,28.27,2.49,146.59,1.76,0.75,1.17,0.92,-25.91,1.30,0.55,0.11,22.62,307.13,11.23
"1434","福懋",35.83,144.96,212.59,139.67,725.61,6.56,55.64,4.32,84.49,1.35,0.74,15.47,21.52,32.39,34.95,17.23,2.16,78.52,131.00,13.12
"1445","大宇",54.97,94.65,78.39,19.58,2.86,29.49,12.37,6.95,52.51,2.88,1.74,5.54,8.85,25.56,19.26,2.19,1.63,11.61,66.54,5.42
"1451","年興",78.03,101.87,98.68,35.53,2.54,6.54,55.81,3.14,116.24,0.74,0.52,9.78,26.22,54.14,33.02,9.88,2.54,-1.84,-9.86,-0.07
"1452","宏益",54.03,158.09,113.98,101.16,3.18,6.61,55.21,16.04,22.76,4.54,1.34,5.65,7.72,19.64,22.91,2.58,0.78,14.73,91.83,10.84
"1713","國化",8.06,245.55,773.38,545.87,10.26,7.64,47.77,3.08,118.51,1.86,0.70,9.17,10.12,18.04,24.50,12.71,2.06,202.98,175.39,15.05
"1714","和桐",55.96,109.84,106.88,79.40,3.60,5.67,64.37,5.20,70.19,1.28,0.67,12.74,23.09,51.66,36.07,13.57,1.75,-2.56,-17.03,-1.64
"2014","中鴻",60.00,113.00,102.00,58.00,4.90,7.10,51.40,4.50,81.11,1.27,0.65,22.90,59.10,17.10,80.40,25.60,5.07,-47.10,-104.80,-32.20
"2313","華通",32.15,185.31,233.11,175.93,8.68,6.28,58.12,6.03,60.53,2.40,1.03,14.86,20.58,38.32,32.57,12.14,3.08,90.21,146.01,20.29
"2505","國揚",72.24,5371.30,224.64,7.66,1.45,54.00,6.76,0.01,36500.00,0.73,0.01,12.09,6.70,-1.01,4.35,208.61,0.35,-158.38,-95.59,-91.90
"2514","龍邦",88.03,3966.05,107.46,4.91,3908.21,20.07,18.19,0.19,1921.05,50.60,0.15,4.04,27.51,36.08,37.50,18.96,2.74,-16.28,-29.09,-45.72
