theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by,role
ai_liquid_cooling,AI 液冷 (UQD 水冷快接頭),"在冊觀察線 ai_liquid_cooling 之 defer→admit。期初冊指示:『GB200 量產 H2 2024 起,≤圍欄若首見 UQD/CDU 配",2024-07-01,,6805,4,"UQD 快接頭認證節點:通過 ODM 驗證、打破外企寡占、單價漲(定價權雛形)、12 個月內難無痛替換(認證門檻)。TWSE 可交易。保守起手 3(寡占 owner 上限 4 之下;量產 Q4 為前瞻、challenger 剛切入,不給滿)。",2024-07-17,repo:backfill/label_runs/2024-07.json; Digitimes a20240717PD200; TweakTown 99446,台廠多家(嘉澤 3533 等)通過 UQD 認證致集中度瓦解 / 液冷快接頭供給正常化、漲價回落 / GB200/GB300 液冷砍單、滲透率停滯 / 富世達 UQD ODM 訂單能見度回縮。,,chokepoint_owner
ai_liquid_cooling,AI 液冷 (UQD 水冷快接頭),"在冊觀察線 ai_liquid_cooling 之 defer→admit。期初冊指示:『GB200 量產 H2 2024 起,≤圍欄若首見 UQD/CDU 配",2024-07-01,,3017,2,TW 散熱模組龍頭(水冷板/CDU)+ 持富世達 UQD 曝險 + 緊急救援分歧管/快接頭。模組層可擴屬 enabler。TWSE。,2024-07-17,repo:backfill/label_runs/2024-07.json; Digitimes a20240717PD200; TweakTown 99446,台廠多家(嘉澤 3533 等)通過 UQD 認證致集中度瓦解 / 液冷快接頭供給正常化、漲價回落 / GB200/GB300 液冷砍單、滲透率停滯 / 富世達 UQD ODM 訂單能見度回縮。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2024-07-01,,2330,5,carry 持平(已封頂 5);2024-07-18 法說僅再確認供不應求。,2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,chokepoint_owner
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2024-07-01,,3711,2,carry 持平。,2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2024-07-01,,2449,2,carry 持平。,2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2024-07-01,,3583,2,carry 持平。,2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2024-07-01,,3131,2,carry 持平(TPEx 不可交易)。,2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2024-07-01,,6187,2,carry 持平(TPEx 不可交易)。,2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
grid_heavy_electrical,電網重電,grid_heavy_electrical:本月真搜尋未取得『發布日 ≤ 2024-07-31』之重電廠 AI-DC 具體大單/漲價第一手——華城星際之門第 1,2024-07-01,,1519,4,carry 持平(寡占上限);AI-DC 具體大單皆 >圍欄不採。,2024-07-01,repo:backfill/label_runs/2024-07.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化 / 美國外銷能見度回縮。,,chokepoint_owner
grid_heavy_electrical,電網重電,grid_heavy_electrical:本月真搜尋未取得『發布日 ≤ 2024-07-31』之重電廠 AI-DC 具體大單/漲價第一手——華城星際之門第 1,2024-07-01,,1513,3,carry 持平;無 ≤圍欄名別新單。,2024-07-01,repo:backfill/label_runs/2024-07.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化 / 美國外銷能見度回縮。,,chokepoint_owner
grid_heavy_electrical,電網重電,grid_heavy_electrical:本月真搜尋未取得『發布日 ≤ 2024-07-31』之重電廠 AI-DC 具體大單/漲價第一手——華城星際之門第 1,2024-07-01,,1514,2,carry 持平。,2024-07-01,repo:backfill/label_runs/2024-07.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化 / 美國外銷能見度回縮。,,enabler
grid_heavy_electrical,電網重電,grid_heavy_electrical:本月真搜尋未取得『發布日 ≤ 2024-07-31』之重電廠 AI-DC 具體大單/漲價第一手——華城星際之門第 1,2024-07-01,,1503,2,carry 持平。,2024-07-01,repo:backfill/label_runs/2024-07.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化 / 美國外銷能見度回縮。,,enabler
epaper_esl,電子紙/ESL,"epaper_esl(元太 8069,TPEx 不可交易):本月無『發布日 ≤ 2024-07-31』之新催化訊號,主題休眠,持平 conviction 3,無",2024-07-01,,8069,3,carry 持平(TPEx 不可交易);本月無 ≤圍欄新催化。,2024-07-01,repo:backfill/label_runs/2024-07.json,ESL 換裝潮結束 / 電子紙產能過剩 / 報價回落。,,chokepoint_owner
ai_liquid_cooling,AI 液冷 (UQD 水冷快接頭),ai_liquid_cooling(2024-07 入冊)≤圍欄 8 月證據=續強但保守持平。money.udn 8 月系列:富世達 + 嘉澤雙台廠打破外企 U,2024-08-01,,3533,3,"新增:≤圍欄 8 月市場報導亦為輝達 GB200 快接頭合格供應商(連接器大廠),打破外企壟斷;量產 2025H1(forward),保守起手 2。TWSE。",2024-08-01,repo:backfill/label_runs/2024-08.json,台廠多家通過 UQD 認證致集中度瓦解 / 快接頭供給正常化、漲價回落 / GB200/GB300 液冷砍單、滲透率停滯 / 富世達 UQD 訂單能見度回縮。,,enabler
