theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by,role
foundry_shortage,成熟製程產能荒,"期初冊主題,僅做證據演化(不重跑瓶頸簽名)。圍欄內 2022-07-08 第一手證據顯示成熟製程開始『分裂』:消費性應用(電視/PC driver IC、PMI",2022-07-01,,2303,1,"圍欄內仍100%+滿載、口頭樂觀,但消費端砍單潮浮現、下行風險升高;由4下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,成熟製程全面砍單並開始降價(而非僅消費端砍單);利用率跌破8成;聯電/世界先進由『樂觀/滿載』轉為明確減產或報價下修,,chokepoint_owner
foundry_shortage,成熟製程產能荒,"期初冊主題,僅做證據演化(不重跑瓶頸簽名)。圍欄內 2022-07-08 第一手證據顯示成熟製程開始『分裂』:消費性應用(電視/PC driver IC、PMI",2022-07-01,,5347,1,"已轉保守(庫存升、Q3利用率自高點滑落),弱化最明確;由4下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,成熟製程全面砍單並開始降價(而非僅消費端砍單);利用率跌破8成;聯電/世界先進由『樂觀/滿載』轉為明確減產或報價下修,,chokepoint_owner
foundry_shortage,成熟製程產能荒,"期初冊主題,僅做證據演化(不重跑瓶頸簽名)。圍欄內 2022-07-08 第一手證據顯示成熟製程開始『分裂』:消費性應用(電視/PC driver IC、PMI",2022-07-01,,6770,1,"面板driver/CIS鬆動、靠轉單PMIC/車用維持滿載;結構性供不應求敘事開始鬆動,由4下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,成熟製程全面砍單並開始降價(而非僅消費端砍單);利用率跌破8成;聯電/世界先進由『樂觀/滿載』轉為明確減產或報價下修,,chokepoint_owner
abf_substrate,ABF 載板缺貨,"期初冊主題,僅做證據演化。圍欄內 2022-06-01 第一手證據:南電/景碩/欣興ABF載板三雄『首遭』外資降評、目標價狠砍約4成;外資估ABF缺口由2021",2022-07-01,,3037,1,外資首度降評、目標價砍4成;缺口收斂、漲價喊卡。由5下調至3,2022-07-01,repo:backfill/label_runs/2022-07.json,ABF現貨/長約報價實際回落(非僅漲價喊卡);交期由高峰縮回正常;三雄稼動率明顯下滑或下修財測。→ 若 H2 確認降價則設 active_until,,chokepoint_owner
abf_substrate,ABF 載板缺貨,"期初冊主題,僅做證據演化。圍欄內 2022-06-01 第一手證據:南電/景碩/欣興ABF載板三雄『首遭』外資降評、目標價狠砍約4成;外資估ABF缺口由2021",2022-07-01,,8046,1,"同遭降評,基板高峰反轉。由5下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,ABF現貨/長約報價實際回落(非僅漲價喊卡);交期由高峰縮回正常;三雄稼動率明顯下滑或下修財測。→ 若 H2 確認降價則設 active_until,,chokepoint_owner
abf_substrate,ABF 載板缺貨,"期初冊主題,僅做證據演化。圍欄內 2022-06-01 第一手證據:南電/景碩/欣興ABF載板三雄『首遭』外資降評、目標價狠砍約4成;外資估ABF缺口由2021",2022-07-01,,3189,1,同遭降評。由5下調至3,2022-07-01,repo:backfill/label_runs/2022-07.json,ABF現貨/長約報價實際回落(非僅漲價喊卡);交期由高峰縮回正常;三雄稼動率明顯下滑或下修財測。→ 若 H2 確認降價則設 active_until,,chokepoint_owner
ev_supply,電動車供應鏈,"期初冊主題,僅做證據演化。圍欄內證據仍偏正向:貿聯(3665)6月營收24.07億、年增36.8%創單月新高;和大(1536)為特斯拉減速齒輪獨家供應商、擴三廠",2022-07-01,,1536,3,"特斯拉減速齒輪獨家供應、擴三廠;圍欄內獨家卡口延續,維持4",2022-07-01,repo:backfill/label_runs/2022-07.json,特斯拉啟動降價戰壓縮供應鏈利潤;EV終端需求明確轉弱、砍單;和大獨家地位被第二供應商稀釋;成員毛利率未隨營收擴張(顯示無定價權),,chokepoint_owner
ev_supply,電動車供應鏈,"期初冊主題,僅做證據演化。圍欄內證據仍偏正向:貿聯(3665)6月營收24.07億、年增36.8%創單月新高;和大(1536)為特斯拉減速齒輪獨家供應商、擴三廠",2022-07-01,,3665,3,"6月營收+36.8%創高,高壓線束design-in;維持4",2022-07-01,repo:backfill/label_runs/2022-07.json,特斯拉啟動降價戰壓縮供應鏈利潤;EV終端需求明確轉弱、砍單;和大獨家地位被第二供應商稀釋;成員毛利率未隨營收擴張(顯示無定價權),,enabler
ev_supply,電動車供應鏈,"期初冊主題,僅做證據演化。圍欄內證據仍偏正向:貿聯(3665)6月營收24.07億、年增36.8%創單月新高;和大(1536)為特斯拉減速齒輪獨家供應商、擴三廠",2022-07-01,,5243,2,"特斯拉機構件/沖壓,受惠但替代性較高;維持3(enabler結構上限)",2022-07-01,repo:backfill/label_runs/2022-07.json,特斯拉啟動降價戰壓縮供應鏈利潤;EV終端需求明確轉弱、砍單;和大獨家地位被第二供應商稀釋;成員毛利率未隨營收擴張(顯示無定價權),,enabler
ev_supply,電動車供應鏈,"期初冊主題,僅做證據演化。圍欄內證據仍偏正向:貿聯(3665)6月營收24.07億、年增36.8%創單月新高;和大(1536)為特斯拉減速齒輪獨家供應商、擴三廠",2022-07-01,,2308,3,"車用電源/充電,多引擎;維持4",2022-07-01,repo:backfill/label_runs/2022-07.json,特斯拉啟動降價戰壓縮供應鏈利潤;EV終端需求明確轉弱、砍單;和大獨家地位被第二供應商稀釋;成員毛利率未隨營收擴張(顯示無定價權),,enabler
